"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2009";"20835";" 7744";" 7127";"  564";" 6621";" 1033";"   18";"    1";"  487";"  314";"   76";"   12";"    1";"   11";"    9";"    0";"   24";"  221";"  437";" 5238";"  403";"  317";"    0";"  878";" 9529";"  124";" 1682";"  318";"   11";"    1";" 2169";"  124";" 1682";"  756";"  331";"    1";" 3180"
"Total_2010";"21013";" 7677";" 7023";"  585";" 6554";" 1062";"   19";"    1";"  461";"  351";"   76";"   12";"    1";"   11";"    9";"    0";"   25";"  221";"  469";" 5490";"  408";"  298";"    0";"  871";" 9347";"  117";" 1665";"  325";"   12";"    1";" 2157";"  117";" 1665";"  760";"  316";"    1";" 3165"
"Total_2011";"21147";" 7500";" 6828";"  614";" 6467";" 1096";"   20";"    1";"  365";"  328";"   75";"   13";"    1";"   11";"    9";"    0";"   26";"  218";"  503";" 5729";"  395";"  314";"    0";"  902";" 9142";"   93";" 1643";"  334";"   13";"    1";" 2118";"   93";" 1643";"  758";"  332";"    1";" 3158"
"Total_2012";"21247";" 7360";" 6652";"  633";" 6332";" 1119";"   20";"    1";"  358";"  258";"   73";"   13";"    1";"   11";"    9";"    0";"   26";"  219";"  537";" 5967";"  384";"  306";"    0";"  894";" 9033";"   91";" 1608";"  337";"   13";"    1";" 2090";"   91";" 1608";"  756";"  322";"    1";" 3132"
"Total_2013";"21361";" 7176";" 6452";"  642";" 6174";" 1146";"   20";"    1";"  346";"  255";"   71";"   13";"    1";"   11";"    9";"    0";"   26";"  219";"  570";" 6221";"  377";"  287";"    0";"  888";" 8803";"   88";" 1568";"  343";"   13";"    1";" 2045";"   88";" 1568";"  749";"  302";"    1";" 3039"
"Total_2014";"21472";" 7031";" 6303";"  654";" 6038";" 1157";"   20";"    2";"  336";"  245";"   69";"   14";"    2";"   11";"    9";"    0";"   26";"  225";"  603";" 6466";"  376";"  300";"    0";"  875";" 8753";"   85";" 1534";"  347";"   13";"    1";" 2013";"   85";" 1534";"  766";"  316";"    1";" 2977"
"Total_2015";"21591";" 6901";" 6150";"  669";" 5894";" 1163";"   19";"    2";"  330";"  239";"   66";"   14";"    2";"   12";"   10";"    0";"   27";"  224";"  639";" 6715";"  368";"  308";"    0";"  848";" 8567";"   84";" 1497";"  350";"   12";"    1";" 1982";"   84";" 1497";"  761";"  325";"    1";" 2950"
"Total_2016";"21661";" 6743";" 5973";"  680";" 5738";" 1188";"   20";"    2";"  323";"  235";"   65";"   14";"    2";"   11";"   10";"    0";"   27";"  226";"  672";" 6974";"  358";"  294";"    0";"  839";" 8432";"   82";" 1457";"  355";"   13";"    1";" 1944";"   82";" 1457";"  750";"  312";"    1";" 2899"
"Total_2017";"21746";" 6566";" 5819";"  692";" 5581";" 1198";"   20";"    2";"  316";"  229";"   63";"   15";"    2";"   12";"   10";"    0";"   27";"  231";"  712";" 7229";"  348";"  298";"    0";"  835";" 8458";"   80";" 1418";"  359";"   13";"    1";" 1905";"   80";" 1418";"  759";"  320";"    2";" 2871"
"Total_2018";"21881";" 6432";" 5653";"  702";" 5446";" 1201";"   21";"    2";"  314";"  226";"   61";"   15";"    2";"   11";"   10";"    0";"   27";"  232";"  746";" 7487";"  330";"  283";"    0";"  816";" 8254";"   80";" 1383";"  359";"   13";"    1";" 1873";"   80";" 1383";"  733";"  301";"    2";" 2814"
