"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2009";"22108";" 9215";" 8550";"  745";" 7900";" 1405";"   43";"   19";"  601";"  417";"  121";"   30";"   19";"   28";"   24";"    4";"   50";"  282";"  614";" 5620";" 1075";"  897";"  155";" 1824";"12330";"  153";" 2007";"  433";"   27";"   12";" 2576";"  153";" 2007";" 1454";"  916";"  163";" 4286"
"Total_2010";"22296";" 9175";" 8466";"  778";" 7859";" 1448";"   45";"   22";"  568";"  453";"  118";"   32";"   22";"   29";"   26";"    4";"   51";"  284";"  656";" 5870";" 1086";"  916";"  138";" 1863";"12123";"  144";" 1996";"  443";"   28";"   14";" 2570";"  144";" 1996";" 1487";"  941";"  148";" 4306"
"Total_2011";"22469";" 9009";" 8262";"  812";" 7795";" 1495";"   46";"   23";"  462";"  428";"  118";"   32";"   23";"   29";"   26";"    5";"   52";"  282";"  694";" 6132";" 1077";"  943";"  150";" 1856";"11894";"  117";" 1980";"  453";"   29";"   15";" 2545";"  117";" 1980";" 1505";"  969";"  163";" 4263"
"Total_2012";"22597";" 8862";" 8097";"  844";" 7655";" 1539";"   47";"   27";"  463";"  349";"  118";"   33";"   27";"   29";"   27";"    5";"   53";"  281";"  738";" 6392";" 1056";"  932";"  169";" 1844";"11649";"  118";" 1944";"  466";"   30";"   17";" 2505";"  118";" 1944";" 1484";"  957";"  185";" 4236"
"Total_2013";"22739";" 8716";" 7926";"  866";" 7500";" 1580";"   48";"   29";"  443";"  346";"  114";"   34";"   29";"   30";"   28";"    5";"   54";"  283";"  782";" 6649";" 1053";"  942";"  183";" 1855";"11422";"  113";" 1905";"  475";"   30";"   18";" 2477";"  113";" 1905";" 1501";"  965";"  194";" 4220"
"Total_2014";"22841";" 8564";" 7760";"  885";" 7357";" 1611";"   47";"   32";"  438";"  338";"  111";"   34";"   32";"   30";"   28";"    6";"   54";"  285";"  829";" 6914";" 1047";"  936";"  194";" 1807";"11265";"  111";" 1869";"  482";"   30";"   20";" 2448";"  111";" 1869";" 1486";"  959";"  207";" 4158"
"Total_2015";"22934";" 8421";" 7585";"  900";" 7191";" 1642";"   47";"   34";"  428";"  331";"  110";"   35";"   34";"   31";"   28";"    6";"   55";"  288";"  872";" 7174";" 1030";"  901";"  178";" 1804";"11126";"  109";" 1827";"  489";"   30";"   22";" 2414";"  109";" 1827";" 1465";"  929";"  194";" 4088"
"Total_2016";"23077";" 8255";" 7423";"  924";" 7031";" 1671";"   46";"   33";"  422";"  324";"  107";"   34";"   33";"   30";"   28";"    6";"   55";"  292";"  914";" 7439";"  983";"  890";"  193";" 1749";"11024";"  107";" 1786";"  497";"   29";"   21";" 2379";"  107";" 1786";" 1439";"  910";"  207";" 4019"
"Total_2017";"23235";" 8085";" 7250";"  944";" 6884";" 1689";"   47";"   35";"  420";"  319";"  106";"   36";"   35";"   30";"   28";"    6";"   54";"  294";"  961";" 7703";"  979";"  853";"  180";" 1691";"10936";"  107";" 1749";"  505";"   30";"   22";" 2344";"  107";" 1749";" 1436";"  876";"  204";" 3902"
"Total_2018";"23332";" 7927";" 7092";"  955";" 6739";" 1715";"   47";"   35";"  411";"  317";"  103";"   35";"   35";"   30";"   28";"    7";"   55";"  301";" 1011";" 7984";"  950";"  836";"  209";" 1697";"10843";"  104";" 1712";"  508";"   30";"   22";" 2306";"  104";" 1712";" 1416";"  856";"  225";" 3911"
