"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"PWID_1983";"3206";"1949";"1886";"63";"1430";"65";"1";"0";"465";"295";"17";"1";"0";"1";"1";"0";"2";"82";"8";"556";"69";"31";"0";"100";"4603";"118";"363";"24";"1";"0";"506";"118";"363";"93";"32";"0";"606"
"PWID_1984";"3493";"2078";"2009";"70";"1527";"75";"2";"0";"489";"293";"18";"1";"0";"2";"1";"0";"2";"89";"10";"646";"80";"37";"0";"117";"4981";"124";"388";"27";"1";"0";"540";"124";"388";"107";"38";"0";"657"
"PWID_1985";"3817";"2205";"2130";"76";"1629";"86";"2";"0";"505";"308";"19";"1";"0";"2";"1";"0";"3";"98";"13";"744";"91";"45";"0";"135";"5412";"128";"414";"31";"1";"0";"574";"128";"414";"122";"46";"0";"709"
"PWID_1986";"4049";"2299";"2217";"82";"1732";"98";"2";"0";"487";"319";"21";"1";"0";"2";"1";"0";"3";"104";"16";"847";"101";"52";"0";"153";"5694";"124";"440";"35";"1";"0";"600";"124";"440";"136";"53";"0";"753"
"PWID_1987";"4268";"2374";"2287";"88";"1813";"110";"3";"0";"474";"308";"22";"2";"0";"2";"1";"0";"3";"109";"19";"956";"112";"60";"0";"172";"5949";"120";"460";"39";"2";"0";"621";"120";"460";"151";"62";"0";"793"
"PWID_1988";"4479";"2510";"2417";"93";"1878";"122";"3";"0";"536";"299";"23";"2";"0";"2";"1";"0";"4";"114";"23";"1070";"122";"68";"0";"190";"6172";"136";"477";"43";"2";"0";"658";"136";"477";"165";"70";"0";"848"
"PWID_1989";"4693";"2541";"2443";"98";"1978";"134";"3";"0";"459";"338";"24";"2";"0";"3";"2";"0";"4";"120";"27";"1190";"133";"76";"0";"209";"6429";"117";"502";"47";"2";"0";"668";"117";"502";"180";"78";"0";"877"
"PWID_1990";"4984";"2760";"2657";"104";"2019";"147";"4";"0";"627";"290";"25";"2";"0";"3";"2";"0";"5";"126";"32";"1316";"142";"84";"0";"226";"6748";"159";"513";"51";"2";"0";"725";"159";"513";"193";"86";"0";"951"
"PWID_1991";"5278";"2949";"2841";"108";"2165";"159";"4";"0";"661";"396";"26";"2";"0";"3";"2";"0";"5";"134";"37";"1450";"153";"92";"0";"245";"7099";"168";"550";"55";"2";"0";"775";"168";"550";"208";"94";"0";"1020"
"PWID_1992";"5567";"3231";"3115";"116";"2315";"172";"4";"0";"782";"417";"28";"3";"0";"3";"2";"0";"6";"141";"43";"1591";"163";"100";"0";"263";"7417";"199";"588";"60";"3";"0";"849";"199";"588";"223";"103";"0";"1112"
"PWID_1993";"5838";"3323";"3199";"124";"2521";"186";"5";"0";"658";"494";"29";"3";"0";"4";"2";"0";"6";"148";"49";"1739";"175";"108";"0";"283";"7755";"167";"640";"65";"3";"0";"875";"167";"640";"240";"111";"0";"1158"
"PWID_1994";"6133";"3564";"3429";"135";"2622";"202";"5";"0";"786";"415";"32";"3";"0";"4";"3";"0";"7";"155";"56";"1895";"186";"116";"0";"302";"8069";"200";"666";"70";"3";"0";"939";"200";"666";"256";"119";"0";"1241"
"PWID_1995";"6535";"3755";"3613";"142";"2792";"218";"5";"0";"795";"496";"33";"3";"0";"4";"3";"0";"7";"166";"63";"2061";"200";"124";"0";"324";"8575";"202";"709";"76";"3";"0";"990";"202";"709";"276";"127";"0";"1314"
"PWID_1996";"6901";"3816";"3665";"151";"2948";"234";"6";"0";"690";"502";"36";"4";"0";"5";"3";"0";"8";"176";"70";"2236";"212";"133";"0";"345";"9038";"175";"749";"81";"4";"0";"1009";"175";"749";"293";"137";"0";"1354"
"PWID_1997";"7415";"4079";"3919";"160";"3018";"252";"6";"0";"870";"436";"38";"4";"0";"5";"3";"0";"8";"189";"79";"2425";"223";"142";"0";"365";"9662";"221";"767";"87";"4";"0";"1078";"221";"767";"310";"146";"0";"1443"
"PWID_1998";"7859";"4208";"4043";"166";"3198";"268";"7";"0";"809";"549";"38";"4";"0";"5";"4";"0";"9";"200";"88";"2625";"237";"151";"0";"388";"10216";"205";"812";"92";"4";"0";"1114";"205";"812";"329";"155";"0";"1502"
"PWID_1999";"8456";"4355";"4180";"175";"3318";"287";"7";"0";"825";"510";"41";"5";"0";"6";"4";"0";"10";"216";"97";"2841";"247";"161";"0";"408";"10981";"209";"843";"98";"5";"0";"1155";"209";"843";"345";"166";"0";"1563"
"PWID_2000";"9108";"4438";"4255";"183";"3435";"305";"8";"0";"780";"521";"42";"5";"0";"6";"4";"0";"10";"233";"107";"3075";"259";"170";"1";"429";"11829";"198";"872";"103";"5";"0";"1179";"198";"872";"362";"175";"1";"1608"
"PWID_2001";"9729";"4616";"4426";"190";"3512";"323";"8";"0";"869";"492";"44";"5";"0";"6";"4";"0";"11";"249";"118";"3324";"269";"180";"1";"449";"12579";"221";"892";"109";"5";"0";"1227";"221";"892";"378";"185";"1";"1676"
"PWID_2002";"9733";"4644";"4449";"196";"3641";"341";"9";"0";"759";"549";"45";"6";"0";"7";"5";"0";"11";"249";"129";"3573";"280";"189";"1";"470";"12399";"193";"925";"114";"6";"0";"1238";"193";"925";"394";"195";"1";"1708"
